ID,RCTRCK,RACE_DE,RACE_NO,PARTCPT_NO,RANK,RCHOSE_NM,HRSMN,RCORD,ARVL_DFFRNC,EACH_SCTN_PASAGE_RANK,A_WIN_SYTM_EXPECT_ALOT,WIN_STA_EXPECT_ALOT
1,부경,2014-01-03,12,6,8,프리마돈,설동복,0:02:07.5,머리,8 - 7 - 4 - 5 - 5 - 4 - 4,16.9,4.7
2,부경,2014-01-03,8,2,8,중앙최강,이성재,0:01:39.1,½,11 -  - 11 - 11 - 12 - 10 - 8,30.2,5.1
3,부경,2014-01-03,8,1,11,맹호소리,김태경,0:01:42.3,5,10 -  - 10 - 10 - 11 - 11 - 11,99.8,9.1
4,부경,2014-01-03,5,9,1,스마트에너지,후지이,0:01:02.0,,8 -  -  -  - 8 - 7 - 2,3.3,1.3
5,부경,2014-01-03,4,3,3,금포스카이,유현명,0:01:25.5,4,4 -  - 3 - 7 - 7 - 4 - 4,3.4,1.2
6,부경,2014-01-03,12,3,7,마리나즈보이,홀랜드,0:02:07.5,¾,5 - 5 - 6 - 7 - 7 - 8 - 8,7.8,2.2
7,부경,2014-01-03,12,4,6,챔프스토리,최시대,0:02:07.4,3,10 - 10 - 10 - 10 - 10 - 9 - 9,12.4,3.3
8,부경,2014-01-03,11,8,3,위대한감동,채규준,0:01:31.1,5,8 -  -  - 6 - 7 - 6 - 4,8.8,1.6
9,부경,2014-01-03,11,7,5,역전의용사,다나카,0:01:31.7,¾,4 -  -  - 3 - 3 - 3 - 6,12.5,2.4
10,부경,2014-01-03,10,8,2,미스터위너,김어수,0:01:17.2,1,1 -  -  - 1 - 1 - 1 - 1,6.5,1.6
11,부경,2014-01-03,10,2,9,오성대장군,김정웅,0:01:19.5,5,8 -  -  - 9 - 9 - 9 - 9,96,19.9
12,부경,2014-01-03,9,3,6,미네스트보인타운,유현명,0:01:16.8,1¾,1 -  -  - 1 - 1 - 1 - 5,3.6,1.7
13,부경,2014-01-03,9,4,3,미스터와이,김어수,0:01:15.4,목,7 -  -  - 7 - 7 - 5 - 4,5,1.6
14,부경,2014-01-03,8,12,4,라이징보스,오영일,0:01:38.0,½,7 -  - 6 - 2 - 1 - 1 - 3,30.8,5.4
15,부경,2014-01-03,8,6,7,레이크선더,김정웅,0:01:39.0,1¾,8 -  - 9 - 8 - 8 - 7 - 7,11.9,2.4
16,부경,2014-01-03,8,11,6,코델리아,다나카,0:01:38.7,½,5 -  - 4 - 7 - 6 - 5 - 5,39,5.4
17,부경,2014-01-03,8,4,1,우리봉,후지이,0:01:37.6,,4 -  - 5 - 6 - 4 - 3 - 1,19.5,2.9
18,부경,2014-01-03,7,2,11,알렉스,최시대,0:01:20.4,4,2 -  -  - 1 - 1 - 3 - 10,2.7,1.4
19,부경,2014-01-03,7,6,2,레이스신,후지이,0:01:16.9,1¾,5 -  -  - 8 - 7 - 7 - 4,8.2,2.6
20,부경,2014-01-03,7,7,4,위너스캣,이성재,0:01:17.5,2,6 -  -  - 5 - 5 - 5 - 5,6.6,1.8
21,부경,2014-01-03,7,13,6,거대한힘,구영준,0:01:17.8,1½,12 -  -  - 12 - 10 - 10 - 7,73.8,15.3
22,부경,2014-01-03,7,1,8,대박승리,김태경,0:01:18.4,3,8 -  -  - 7 - 9 - 9 - 8,68.1,8.6
23,부경,2014-01-03,5,12,11,티사불,임성실,0:01:04.1,½,4 -  -  -  - 6 - 5 - 8,21.7,5.9
24,부경,2014-01-03,5,6,4,정상제압,최시대,0:01:03.2,¾,1 -  -  -  - 1 - 2 - 3,7.1,2.2
25,부경,2014-01-03,5,7,5,신시내티드림,정동철,0:01:03.2,머리,2 -  -  -  - 2 - 1 - 1,9,3.7
26,부경,2014-01-03,5,3,2,봄의제왕,오영일,0:01:03.0,6,10 -  -  -  - 9 - 9 - 9,30.6,7.4
27,부경,2014-01-03,5,11,12,골든트리오,이성재,0:01:04.3,1,12 -  -  -  - 11 - 11 - 11,34.1,8.2
28,부경,2014-01-03,5,2,7,천년특급,홀랜드,0:01:03.6,1¾,11 -  -  -  - 10 - 10 - 10,23,5.8
29,부경,2014-01-03,4,7,4,오대세,다나카,0:01:26.3,5,5 -  - 4 - 3 - 2 - 2 - 3,14.6,2.9
30,부경,2014-01-03,4,4,5,한마강호,후지이,0:01:26.3,목,3 -  - 2 - 5 - 8 - 5 - 5,9.8,2.5
31,부경,2014-01-03,4,5,1,선더레이,홀랜드,0:01:24.3,,8 -  - 8 - 8 - 5 - 3 - 2,3.6,1.3
32,부경,2014-01-03,3,4,4,라이징캡틴,후지이,0:01:18.2,1,8 -  -  - 8 - 7 - 7 - 5,1.4,1
33,부경,2014-01-03,3,6,1,바다강자,다나카,0:01:17.0,,2 -  -  - 2 - 2 - 2 - 1,7.1,1.9
34,부경,2014-01-03,3,2,8,해피동산,송경윤,0:01:22.6,14,3 -  -  - 3 - 4 - 5 - 8,44.5,5.1
35,부경,2014-01-03,2,3,6,천복,박성광,0:01:20.3,½,4 -  -  - 6 - 4 - 4 - 4,35.3,4
36,부경,2014-01-03,2,8,5,곰염섬,박금만,0:01:20.2,2,7 -  -  - 4 - 3 - 2 - 2,50.1,4.9
37,부경,2014-01-03,2,2,3,상승대로,송경윤,0:01:19.8,4,3 -  -  - 5 - 5 - 5 - 6,10.5,1.4
38,부경,2014-01-03,2,1,7,장군의아들,정동철,0:01:20.8,3,5 -  -  - 7 - 7 - 6 - 7,37.3,4.2
39,부경,2014-01-03,1,10,4,그린나래,김정웅,0:01:03.3,¾,2 -  -  -  - 1 - 1 - 2,14.1,3
40,부경,2014-01-03,1,4,8,더키,채규준,0:01:04.9,3,11 -  -  -  - 11 - 11 - 10,67.6,19.6
41,부경,2014-01-03,1,11,1,블랙키,최시대,0:01:02.2,,3 -  -  -  - 4 - 3 - 1,1.3,1
42,부경,2014-01-03,12,9,11,스타워프,박금만,0:02:09.6,1¾,6 - 8 - 8 - 11 - 11 - 11 - 11,36.3,8.9
43,부경,2014-01-03,12,1,1,천지전승,후지이,0:02:05.9,,3 - 3 - 5 - 4 - 2 - 2 - 2,3,1.6
44,부경,2014-01-03,12,7,2,하이터치,이성재,0:02:06.1,1¼,1 - 1 - 1 - 1 - 1 - 1 - 1,6.1,1.9
45,부경,2014-01-03,12,10,10,킵인스코어,김정웅,0:02:09.3,9,9 - 9 - 7 - 8 - 9 - 10 - 10,66.1,12.1
46,부경,2014-01-03,3,3,2,굿터치,김현중,0:01:17.9,5,4 -  -  - 4 - 5 - 4 - 3,5.5,1.2
47,부경,2014-01-03,4,2,6,판타스틱파크,송경윤,0:01:28.0,9,7 -  - 7 - 6 - 6 - 6 - 6,15.6,2.5
