date,price
2012-01-03,665.411118
2012-01-04,668.281154
2012-01-05,659.011109
2012-01-06,650.021102
2012-01-09,622.461047
2012-01-10,623.141078
2012-01-11,625.961061
2012-01-12,629.641069
2012-01-13,624.991068
2012-01-17,628.581079
2012-01-18,632.911098
2012-01-19,639.571112
2012-01-20,585.990995
2012-01-23,585.520977
2012-01-24,580.931014
2012-01-25,569.490997
2012-01-26,568.100977
2012-01-27,579.980993
2012-01-30,577.691005
2012-01-31,580.110995
2012-02-01,580.83097
2012-02-02,585.110998
2012-02-03,596.331016
2012-02-06,609.091029
2012-02-07,606.771021
2012-02-08,609.85107
2012-02-09,611.461028
2012-02-10,605.911058
2012-02-13,612.201036
2012-02-14,609.761073
2012-02-15,605.561056
2012-02-16,606.521064
2012-02-17,604.641054
2012-02-21,614.001035
2012-02-22,607.941041
2012-02-23,606.111023
2012-02-24,609.901062
2012-02-27,609.311028
2012-02-28,618.391032
2012-02-29,618.251043
2012-03-01,622.401069
2012-03-02,621.251082
2012-03-05,614.251053
2012-03-06,604.961036
2012-03-07,606.80104
2012-03-08,607.141056
2012-03-09,600.251057
2012-03-12,605.151016
2012-03-13,617.781087
2012-03-14,615.991074
2012-03-15,621.131066
2012-03-16,625.041059
2012-03-19,633.981075
2012-03-20,633.491085
2012-03-21,639.981091
2012-03-22,646.051131
2012-03-23,642.591122
2012-03-26,649.331085
2012-03-27,647.021125
2012-03-28,655.761114
2012-03-29,648.411083
2012-03-30,641.241108
2012-04-02,646.921081
2012-04-03,642.621081
2012-04-04,635.151095
2012-04-05,632.321064
2012-04-09,630.841109
2012-04-10,626.861091
2012-04-11,635.961067
2012-04-12,651.011129
2012-04-13,624.601061
2012-04-16,606.071018
2012-04-17,609.571032
2012-04-18,607.451052
2012-04-19,599.301036
2012-04-20,596.061026
2012-04-23,597.60102
2012-04-24,601.271042
2012-04-25,609.721068
2012-04-26,615.471065
2012-04-27,614.981076
2012-04-30,604.851067
2012-05-01,604.431041
2012-05-02,607.261072
2012-05-03,611.021029
2012-05-04,596.971042
2012-05-07,607.551034
2012-05-08,612.79107
2012-05-09,609.151067
2012-05-10,613.661081
2012-05-11,605.231027
2012-05-14,604.001029
2012-05-15,611.111026
2012-05-16,628.93108
2012-05-17,623.051081
2012-05-18,600.401031
2012-05-21,614.111065
2012-05-22,600.801024
2012-05-23,609.461063
2012-05-24,603.661013
2012-05-25,591.53104
2012-05-29,594.341038
2012-05-30,588.230992
2012-05-31,580.86099
2012-06-01,570.981
2012-06-04,578.590973
2012-06-05,570.410999
2012-06-06,580.570966
2012-06-07,578.230986
2012-06-08,580.451011
2012-06-11,568.50097
2012-06-12,565.100939
2012-06-13,561.090963
2012-06-14,559.050931
2012-06-15,564.510966
2012-06-18,570.850997
2012-06-19,581.530973
2012-06-20,577.511011
2012-06-21,565.210969
2012-06-22,571.480976
2012-06-25,560.700956
2012-06-26,564.680974
2012-06-27,569.300956
2012-06-28,564.310939
2012-06-29,580.07099
2012-07-02,580.470983
2012-07-03,587.830999
2012-07-05,595.921037
2012-07-06,585.981009
2012-07-09,586.011028
2012-07-10,581.700981
2012-07-11,571.190952
2012-07-12,570.480963
2012-07-13,576.520984
2012-07-16,574.921012
2012-07-17,576.730997
2012-07-18,580.761007
2012-07-19,593.060987
2012-07-20,610.821064
2012-07-23,615.511071
2012-07-24,607.571068
2012-07-25,607.991033
2012-07-26,613.361071
2012-07-27,634.961116
2012-07-30,632.301092
2012-07-31,632.971076
2012-08-01,632.681113
2012-08-02,628.751087
2012-08-03,641.331105
2012-08-06,642.821108
2012-08-07,640.541105
2012-08-08,642.231074
2012-08-09,642.35109
2012-08-10,642.001088
2012-08-13,660.011122
2012-08-14,668.661175
2012-08-15,667.541146
2012-08-16,672.871179
2012-08-17,677.141159
2012-08-20,675.541188
2012-08-21,669.511153
2012-08-22,677.181165
2012-08-23,676.801144
2012-08-24,678.631162
2012-08-27,669.221129
2012-08-28,677.25119
2012-08-29,688.011176
2012-08-30,681.681192
2012-08-31,685.091148
2012-09-04,681.041167
2012-09-05,680.721185
2012-09-06,699.401202
2012-09-07,706.151212
2012-09-10,700.771188
2012-09-11,692.19116
2012-09-12,690.881212
2012-09-13,706.041182
2012-09-14,709.681246
2012-09-17,709.981194
2012-09-18,718.281246
2012-09-19,727.501238
2012-09-20,728.121231
2012-09-21,733.991244
2012-09-24,749.38126
2012-09-25,749.161261
2012-09-26,753.461322
2012-09-27,756.501305
2012-09-28,754.501279
2012-10-01,761.781285
2012-10-02,756.991295
2012-10-03,762.501321
2012-10-04,768.051291
2012-10-05,767.651298
2012-10-08,757.841272
2012-10-09,744.091294
2012-10-10,744.561251
2012-10-11,751.481269
2012-10-12,744.751292
2012-10-15,740.981287
2012-10-16,744.7013
2012-10-17,755.491306
2012-10-18,695.001219
2012-10-19,681.791161
2012-10-22,678.671167
2012-10-23,680.35115
2012-10-24,677.301181
2012-10-25,677.761151
2012-10-26,675.151181
2012-10-31,680.301158
2012-11-01,687.59115
2012-11-02,687.921179
2012-11-05,682.961182
2012-11-06,681.721197
2012-11-07,667.12112
2012-11-08,652.291119
2012-11-09,663.031133
2012-11-12,665.901169
2012-11-13,659.051115
2012-11-14,652.551123
2012-11-15,647.261096
2012-11-16,647.181085
2012-11-19,668.21113
2012-11-20,669.971123
2012-11-21,665.87115
2012-11-23,667.971158
2012-11-26,661.151123
2012-11-27,670.711131
2012-11-28,683.67117
2012-11-29,691.891211
