ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
1,부경,2014-01-03,호,수,,51,윤주혁,최상배,474
2,부경,2014-01-03,한,거,,55,오문식,류주영,470
3,부경,2014-01-03,한,거,,54,장세한,양국만,488
4,부경,2014-01-03,미,거,,56,한상복,김갑수,463
5,부경,2014-01-03,한,수,,54,권승주,손병현,521
6,부경,2014-01-03,미,수,,56.5,울즐리,이시돌협회,482
7,부경,2014-01-03,미,수,,51.5,백광열,박웅진,482
8,부경,2014-01-03,한,수,,56.5,방동석,조영자,459
9,부경,2014-01-03,한,수,,57.5,임금만,최상희,483
10,부경,2014-01-03,한,수,,57,김병학,송문관,461
11,부경,2014-01-03,한,수,,55,양귀선,이성님,524
12,부경,2014-01-03,미,수,,54,김재섭,김규성,487
13,부경,2014-01-03,미,수,,57,이정표,박성배,512
14,부경,2014-01-03,한,수,,54,방동석,신우철,468
15,부경,2014-01-03,한,수,,53,김병학,이혜선,453
16,부경,2014-01-03,한,수,,53.5,유병복,홍태수,484
17,부경,2014-01-03,한,수,,54.5,김길중,우리마트,450
18,부경,2014-01-03,한,수,,54.5,민장기,김욱수,511
19,부경,2014-01-03,한,수,,55.5,한상복,박호익,455
20,부경,2014-01-03,한,수,,55.5,오문식,박은주,496
21,부경,2014-01-03,한,수,,56.5,강형곤,이성민,543
22,부경,2014-01-03,한,수,,56.5,장세한,고희종,492
23,부경,2014-01-03,미,수,,54,장세한,이명희 ,446
24,부경,2014-01-03,미,수,,54,오문식,장길순,514
25,부경,2014-01-03,미,수,,54,강형곤,김원구,463
26,부경,2014-01-03,미,수,,54,방동석,이원재,457
27,부경,2014-01-03,호,수,,55,백광열,정영광,425
28,부경,2014-01-03,미,수,,56,조용배,부건영,472
29,부경,2014-01-03,한,수,,54,윤주혁,송정아,493
30,부경,2014-01-03,한,수,,54,이상영,이갑섭,488
31,부경,2014-01-03,한,수,,54,김재섭,이태희,526
32,부경,2014-01-03,한,수,,54,방동석,신우철,456
33,부경,2014-01-03,한,수,,54,유병복,정영식,471
34,부경,2014-01-03,한,수,,54,강형곤,변수정,517
35,부경,2014-01-03,한,수,,54,이상영,정재훈,481
36,부경,2014-01-03,한,수,,55,임한,김영근,542
37,부경,2014-01-03,한,수,,54,김남중,이성님,473
38,부경,2014-01-03,한,수,,54,백광열,강훈표,517
39,부경,2014-01-03,한,수,,53,김재섭,김종태,450
40,부경,2014-01-03,한,수,,54,민장기,고경민,497
41,부경,2014-01-03,한,수,,54,김영관,고경민,483
42,부경,2014-01-03,호,수,,51,임한,김영근,483
43,부경,2014-01-03,미,수,,55.5,김상석,안숙영,548
44,부경,2014-01-03,미,수,,51,유충열,이인태,478
45,부경,2014-01-03,미,암,,51.5,강형곤,이헌주,466
46,부경,2014-01-03,한,암,,50,김영관,구영본,454
47,부경,2014-01-03,한,암,,54,고홍석,백진희,455
48,부경,2014-01-03,한,암,,53,최기홍,손병현,459
49,부경,2014-01-03,미,암,,53,김병학,이혜선,440
50,부경,2014-01-03,미,암,,53,김남중,곽종수,465
51,부경,2014-01-03,미,암,,53,윤주혁,박병현,461
52,부경,2014-01-03,미,암,,53,김병학,고석주,463
53,부경,2014-01-03,한,암,,55,임동창,김광원,456
54,부경,2014-01-03,한,암,,53,문제복,오종환,473
55,부경,2014-01-03,한,암,,54,하무선,송윤지,417
56,부경,2014-01-03,한,암,,54,민장기,이성인,481
57,부경,2014-01-03,한,암,,55,김영관,이성희,522
58,부경,2014-01-03,한,암,,52,이정표,이성인,428
59,부경,2014-01-03,한,암,,53,민장기,김욱수,488
60,부경,2014-01-03,한,암,,53,김재섭,최종하,499
61,부경,2014-01-03,한,암,,53,권승주,김봉겸,446
62,부경,2014-01-03,한,암,,55,이정표,이계옥,443
63,부경,2014-01-03,한,암,,55.5,김성현,임총재,479
64,부경,2014-01-03,한,암,,54.5,임한,홍성필,456
65,부경,2014-01-03,한,수,,53.5,김영관,박광순,499
66,부경,2014-01-03,한,수,,54.5,임동창,김용구,484
67,부경,2014-01-03,한,수,,56.5,임금만,김갑수,496
68,부경,2014-01-03,미,수,,54,유병복,이준걸,470
69,부경,2014-01-03,한,수,,54,양귀선,이성님,487
70,부경,2014-01-03,한,수,,56,윤주혁,서귀포시축협,484
71,부경,2014-01-03,미,수,,54,양귀선,김성수,458
72,부경,2014-01-03,한,수,,54,김상석,전종섭,525
73,부경,2014-01-03,한,거,,58,최기홍,김원식,478
74,부경,2014-01-03,한,거,,51.5,강병은,김정두,416
75,부경,2014-01-03,한,거,,54,오문식,장길순,508
76,부경,2014-01-03,한,거,,57,한상복,오공학,451
77,부경,2014-01-03,한,거,,54,윤주혁,전영환,457
78,부경,2014-01-03,한,거,,54,유충열,이상영,436
79,부경,2014-01-03,미,거,,51,김재섭,이태희,461
80,부경,2014-01-03,한,거,,58,권승주,서종호,494
81,부경,2014-01-03,한,거,,50,임동창,이유완,512
82,부경,2014-01-03,한,거,,59,권승주,손천수,454
83,부경,2014-01-03,뉴,거,,55,하무선,하만철,480
84,부경,2014-01-03,미,거,,56,권승주,손병철,496
85,부경,2014-01-03,한,거,,56,백광열,강훈표,482
86,부경,2014-01-03,한,거,,57,김병학,송문관,465
87,부경,2014-01-03,한,거,,54,이상영,박득수,475
88,부경,2014-01-03,미,거,,56,김창옥,고재완,487
89,부경,2014-01-03,한,거,,53.5,양귀선,조용희,483
90,부경,2014-01-03,미,거,,53,강병은,이원재,461
91,부경,2014-01-03,한,거,,55.5,이정표,한영희,447
92,부경,2014-01-03,한,암,,54,조용배,인택주택건설,396
93,부경,2014-01-03,한,암,,53,오문식,김종업,487
94,부경,2014-01-03,한,암,,55,조용배,송한우,456
95,부경,2014-01-03,한,암,,51.5,유병복,이준걸,441
96,부경,2014-01-03,한,암,,55,임동창,이동훈,500
97,부경,2014-01-03,한,암,,55.5,오문식,류주영,470
98,부경,2014-01-03,미,암,,53.5,이정표,박성배,492
99,부경,2014-01-03,한,암,,53,오문식,정광화,431
100,부경,2014-01-03,한,암,,53,김길중,곽희원,465
101,부경,2014-01-03,한,암,,54,고홍석,우만식,462
102,부경,2014-01-03,한,암,,55,김남중,오영복,465
103,부경,2014-01-03,일,암,,55,임금만,최철이,495
104,부경,2014-01-03,한,암,,55,김영관,김형란,528
105,부경,2014-01-03,미,암,,51,방동석,김헌영,468
106,부경,2014-01-03,한,암,,54,문제복,윤지중,494
107,부경,2014-01-03,한,암,,53,고홍석,최영근,432
108,부경,2014-01-03,한,암,,53,김상석,전종섭,455
109,부경,2014-01-03,한,암,,53,임한,함승원,465
110,부경,2014-01-03,한,암,,51,강병은,김응수,475
111,부경,2014-01-03,한,암,,53,백광열,김준식,474
112,부경,2014-01-03,한,암,,53,양귀선,이성인,430
113,부경,2014-01-03,한,암,,53,김재섭,고문섭,487
114,부경,2014-01-03,한,암,,53,김창옥,고재완,433
115,부경,2014-01-03,한,암,,50.5,김영관,태희종합건설,487
116,부경,2014-01-03,한,암,,51,하무선,(주)넓은,429
117,부경,2014-01-03,미,암,,54,고홍석,정영식,477
118,부경,2014-01-03,미,암,,53,김영관,김평갑,501
119,부경,2014-01-03,한,암,,54,이상영,최순자,475
120,부경,2014-01-03,한,암,,55.5,최기홍,안규생,449
